,County_x,Census Tract,Per Capita Income (In 2015 Inflation Adjusted Dollars),State,County_y,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
139,35,124201,18110,Ohio,"Cuyahoga County, OH",124201,74.6,56.9-75.1,2.041
140,35,124202,20606,Ohio,"Cuyahoga County, OH",124202,71.5,56.9-75.1,2.2394
141,35,124300,18125,Ohio,"Cuyahoga County, OH",124300,73.1,56.9-75.1,1.0414
142,35,124500,21528,Ohio,"Cuyahoga County, OH",124500,75.2,75.2-77.5,1.2412
143,35,124600,15973,Ohio,"Cuyahoga County, OH",124600,71.1,56.9-75.1,1.3494
144,35,126100,20461,Ohio,"Cuyahoga County, OH",126100,73.8,56.9-75.1,2.1112
145,35,127501,12357,Ohio,"Cuyahoga County, OH",127501,73.6,56.9-75.1,2.0313
146,35,130103,46352,Ohio,"Cuyahoga County, OH",130103,81.8,81.7-97.5,0.9888
147,35,130104,45699,Ohio,"Cuyahoga County, OH",130104,82.1,81.7-97.5,1.3315
148,35,130105,38346,Ohio,"Cuyahoga County, OH",130105,79.4,77.6-79.5,1.2766
149,35,130106,46459,Ohio,"Cuyahoga County, OH",130106,79.7,79.6-81.6,1.1997
150,35,131102,44104,Ohio,"Cuyahoga County, OH",131102,79.4,77.6-79.5,1.3508
151,35,131103,54108,Ohio,"Cuyahoga County, OH",131103,85.2,81.7-97.5,1.7901
152,35,131104,52384,Ohio,"Cuyahoga County, OH",131104,79.4,77.6-79.5,0.9914
153,35,132100,21979,Ohio,"Cuyahoga County, OH",132100,77.0,75.2-77.5,1.3607
154,35,132200,26415,Ohio,"Cuyahoga County, OH",132200,75.6,75.2-77.5,1.4968
155,35,132301,24804,Ohio,"Cuyahoga County, OH",132301,76.1,75.2-77.5,1.7838
156,35,132302,24365,Ohio,"Cuyahoga County, OH",132302,72.7,56.9-75.1,1.8857
157,35,133103,19547,Ohio,"Cuyahoga County, OH",133103,73.1,56.9-75.1,3.8558
158,35,133104,18385,Ohio,"Cuyahoga County, OH",133104,74.9,56.9-75.1,2.5926
159,35,134100,29274,Ohio,"Cuyahoga County, OH",134100,74.4,56.9-75.1,2.1625
160,35,134203,31807,Ohio,"Cuyahoga County, OH",134203,80.6,79.6-81.6,2.3973
161,35,134204,24653,Ohio,"Cuyahoga County, OH",134204,76.3,75.2-77.5,2.1109
162,35,134206,30437,Ohio,"Cuyahoga County, OH",134206,78.1,77.6-79.5,1.2185
163,35,134300,19643,Ohio,"Cuyahoga County, OH",134300,80.5,79.6-81.6,1.0586
164,35,135103,51484,Ohio,"Cuyahoga County, OH",135103,82.4,81.7-97.5,1.7201
165,35,135104,59603,Ohio,"Cuyahoga County, OH",135104,82.2,81.7-97.5,1.1538
166,35,135105,48637,Ohio,"Cuyahoga County, OH",135105,84.4,81.7-97.5,1.9975
167,35,135106,45958,Ohio,"Cuyahoga County, OH",135106,79.3,77.6-79.5,2.019
168,35,136101,38680,Ohio,"Cuyahoga County, OH",136101,80.9,79.6-81.6,1.5156
169,35,136102,42773,Ohio,"Cuyahoga County, OH",136102,81.0,79.6-81.6,1.253
170,35,136103,33804,Ohio,"Cuyahoga County, OH",136103,81.9,81.7-97.5,1.3233
171,35,137101,22167,Ohio,"Cuyahoga County, OH",137101,74.5,56.9-75.1,1.9098
172,35,137102,23375,Ohio,"Cuyahoga County, OH",137102,77.5,75.2-77.5,1.4115
173,35,137103,22901,Ohio,"Cuyahoga County, OH",137103,77.3,75.2-77.5,1.2752
174,35,138105,19474,Ohio,"Cuyahoga County, OH",138105,76.0,75.2-77.5,1.5571
175,35,138106,22883,Ohio,"Cuyahoga County, OH",138106,75.5,75.2-77.5,1.4929
176,35,138107,22692,Ohio,"Cuyahoga County, OH",138107,75.7,75.2-77.5,1.6455
177,35,138108,23274,Ohio,"Cuyahoga County, OH",138108,76.2,75.2-77.5,1.0363
178,35,138109,24740,Ohio,"Cuyahoga County, OH",138109,76.7,75.2-77.5,1.1396
179,35,138110,24482,Ohio,"Cuyahoga County, OH",138110,75.7,75.2-77.5,1.1819
180,35,140100,26844,Ohio,"Cuyahoga County, OH",140100,74.6,56.9-75.1,1.9805
181,35,140301,19157,Ohio,"Cuyahoga County, OH",140301,79.0,77.6-79.5,2.8675
182,35,140302,23413,Ohio,"Cuyahoga County, OH",140302,80.9,79.6-81.6,3.0528
183,35,140400,31262,Ohio,"Cuyahoga County, OH",140400,79.4,77.6-79.5,3.1651
184,35,140500,22711,Ohio,"Cuyahoga County, OH",140500,77.6,77.6-79.5,1.2898
185,35,140600,27919,Ohio,"Cuyahoga County, OH",140600,76.3,75.2-77.5,3.2977
186,35,140701,23110,Ohio,"Cuyahoga County, OH",140701,78.0,77.6-79.5,2.027
187,35,140702,21300,Ohio,"Cuyahoga County, OH",140702,75.5,75.2-77.5,2.4357
188,35,140800,28377,Ohio,"Cuyahoga County, OH",140800,79.8,79.6-81.6,1.4829
189,35,140900,22900,Ohio,"Cuyahoga County, OH",140900,80.4,79.6-81.6,2.6694
190,35,141200,47804,Ohio,"Cuyahoga County, OH",141200,83.2,81.7-97.5,3.4172
191,35,141300,40596,Ohio,"Cuyahoga County, OH",141300,80.8,79.6-81.6,1.3528
192,35,141400,53041,Ohio,"Cuyahoga County, OH",141400,82.3,81.7-97.5,2.0102
193,35,141500,49204,Ohio,"Cuyahoga County, OH",141500,79.5,77.6-79.5,3.5604
194,35,141601,42698,Ohio,"Cuyahoga County, OH",141601,79.8,79.6-81.6,1.1014
195,35,141602,25797,Ohio,"Cuyahoga County, OH",141602,75.2,75.2-77.5,1.9523
196,35,141700,41744,Ohio,"Cuyahoga County, OH",141700,79.8,79.6-81.6,1.2433
197,35,150100,13132,Ohio,"Cuyahoga County, OH",150100,72.0,56.9-75.1,1.4706
198,35,150300,12040,Ohio,"Cuyahoga County, OH",150300,72.0,56.9-75.1,2.1435
199,35,150400,11585,Ohio,"Cuyahoga County, OH",150400,69.8,56.9-75.1,2.322
200,35,151100,17182,Ohio,"Cuyahoga County, OH",151100,71.7,56.9-75.1,2.4476
201,35,151200,13498,Ohio,"Cuyahoga County, OH",151200,73.5,56.9-75.1,2.7312
202,35,151300,21300,Ohio,"Cuyahoga County, OH",151300,72.5,56.9-75.1,3.0314
203,35,151400,15456,Ohio,"Cuyahoga County, OH",151400,71.6,56.9-75.1,1.6562
204,35,151500,14572,Ohio,"Cuyahoga County, OH",151500,70.4,56.9-75.1,3.2454
205,35,151600,13811,Ohio,"Cuyahoga County, OH",151600,72.1,56.9-75.1,1.7107
206,35,151700,11498,Ohio,"Cuyahoga County, OH",151700,70.6,56.9-75.1,2.4074
207,35,151800,9886,Ohio,"Cuyahoga County, OH",151800,69.4,56.9-75.1,1.9627
208,35,152101,43971,Ohio,"Cuyahoga County, OH",152101,79.8,79.6-81.6,1.1605
209,35,152102,21398,Ohio,"Cuyahoga County, OH",152102,75.4,75.2-77.5,1.3231
210,35,152201,24286,Ohio,"Cuyahoga County, OH",152201,73.9,56.9-75.1,1.5234
211,35,152202,20187,Ohio,"Cuyahoga County, OH",152202,71.6,56.9-75.1,1.0074
212,35,152302,24410,Ohio,"Cuyahoga County, OH",152302,77.3,75.2-77.5,1.1855
213,35,152303,20804,Ohio,"Cuyahoga County, OH",152303,76.0,75.2-77.5,1.3776
214,35,152400,23728,Ohio,"Cuyahoga County, OH",152400,74.5,56.9-75.1,2.0649
215,35,152501,24261,Ohio,"Cuyahoga County, OH",152501,75.5,75.2-77.5,1.5231
216,35,152502,19386,Ohio,"Cuyahoga County, OH",152502,74.8,56.9-75.1,1.7285
217,35,152702,23448,Ohio,"Cuyahoga County, OH",152702,74.5,56.9-75.1,1.5
218,35,152703,28599,Ohio,"Cuyahoga County, OH",152703,80.9,79.6-81.6,2.5814
219,35,153103,30021,Ohio,"Cuyahoga County, OH",153103,81.4,79.6-81.6,1.8538
220,35,153104,26895,Ohio,"Cuyahoga County, OH",153104,79.1,77.6-79.5,1.1802
221,35,153105,30332,Ohio,"Cuyahoga County, OH",153105,76.5,75.2-77.5,1.2846
222,35,153106,29547,Ohio,"Cuyahoga County, OH",153106,79.8,79.6-81.6,1.395
223,35,153107,41566,Ohio,"Cuyahoga County, OH",153107,81.5,79.6-81.6,1.3575
224,35,154100,17129,Ohio,"Cuyahoga County, OH",154100,73.1,56.9-75.1,1.5004
225,35,154200,22327,Ohio,"Cuyahoga County, OH",154200,77.0,75.2-77.5,1.6629
226,35,154300,14692,Ohio,"Cuyahoga County, OH",154300,74.2,56.9-75.1,3.622
227,35,154400,17604,Ohio,"Cuyahoga County, OH",154400,75.7,75.2-77.5,1.7268
228,35,154501,23709,Ohio,"Cuyahoga County, OH",154501,77.4,75.2-77.5,1.5303
229,35,154502,23047,Ohio,"Cuyahoga County, OH",154502,78.3,77.6-79.5,1.5608
230,35,154601,19759,Ohio,"Cuyahoga County, OH",154601,76.0,75.2-77.5,1.2741
231,35,154603,20620,Ohio,"Cuyahoga County, OH",154603,78.2,77.6-79.5,1.6907
232,35,154604,23449,Ohio,"Cuyahoga County, OH",154604,74.7,56.9-75.1,1.3916
233,35,154700,18618,Ohio,"Cuyahoga County, OH",154700,74.6,56.9-75.1,2.0104
234,35,155101,50990,Ohio,"Cuyahoga County, OH",155101,81.4,79.6-81.6,1.3683
235,35,155102,31101,Ohio,"Cuyahoga County, OH",155102,79.9,79.6-81.6,1.8998
236,35,156101,44585,Ohio,"Cuyahoga County, OH",156101,80.0,79.6-81.6,3.0947
237,35,156102,37534,Ohio,"Cuyahoga County, OH",156102,79.8,79.6-81.6,1.3386
238,35,160100,48616,Ohio,"Cuyahoga County, OH",160100,80.3,79.6-81.6,3.0434
239,35,160200,28997,Ohio,"Cuyahoga County, OH",160200,75.1,56.9-75.1,2.0234
240,35,160300,32663,Ohio,"Cuyahoga County, OH",160300,79.2,77.6-79.5,1.6844
241,35,160400,29805,Ohio,"Cuyahoga County, OH",160400,78.2,77.6-79.5,1.7858
242,35,160500,35246,Ohio,"Cuyahoga County, OH",160500,77.4,75.2-77.5,1.2406
243,35,160601,39929,Ohio,"Cuyahoga County, OH",160601,79.3,77.6-79.5,1.5768
244,35,160602,22164,Ohio,"Cuyahoga County, OH",160602,70.0,56.9-75.1,2.0048
245,35,160700,24701,Ohio,"Cuyahoga County, OH",160700,77.9,77.6-79.5,3.818
246,35,160800,28947,Ohio,"Cuyahoga County, OH",160800,79.1,77.6-79.5,3.6623
247,35,160900,32077,Ohio,"Cuyahoga County, OH",160900,75.9,75.2-77.5,1.6501
248,35,161000,29265,Ohio,"Cuyahoga County, OH",161000,78.3,77.6-79.5,1.8116
249,35,161100,28449,Ohio,"Cuyahoga County, OH",161100,78.9,77.6-79.5,1.5185
250,35,161200,26190,Ohio,"Cuyahoga County, OH",161200,77.7,77.6-79.5,2.2541
251,35,161300,27971,Ohio,"Cuyahoga County, OH",161300,74.8,56.9-75.1,1.7616
252,35,161400,26772,Ohio,"Cuyahoga County, OH",161400,80.3,79.6-81.6,2.465
253,35,161500,26780,Ohio,"Cuyahoga County, OH",161500,78.4,77.6-79.5,1.3674
254,35,161600,23812,Ohio,"Cuyahoga County, OH",161600,74.3,56.9-75.1,1.9114
255,35,161700,17932,Ohio,"Cuyahoga County, OH",161700,71.6,56.9-75.1,2.0214
256,35,170101,30400,Ohio,"Cuyahoga County, OH",170101,80.6,79.6-81.6,1.5125
257,35,170102,32617,Ohio,"Cuyahoga County, OH",170102,80.1,79.6-81.6,1.0538
258,35,170201,58862,Ohio,"Cuyahoga County, OH",170201,80.8,79.6-81.6,2.3541
259,35,170202,37038,Ohio,"Cuyahoga County, OH",170202,81.3,79.6-81.6,1.1575
260,35,171102,18394,Ohio,"Cuyahoga County, OH",171102,74.3,56.9-75.1,2.0036
261,35,171103,18914,Ohio,"Cuyahoga County, OH",171103,73.1,56.9-75.1,1.434
262,35,171104,16140,Ohio,"Cuyahoga County, OH",171104,69.2,56.9-75.1,2.5189
263,35,171203,21800,Ohio,"Cuyahoga County, OH",171203,74.5,56.9-75.1,2.5314
264,35,171204,19082,Ohio,"Cuyahoga County, OH",171204,72.9,56.9-75.1,2.1133
265,35,171205,24166,Ohio,"Cuyahoga County, OH",171205,72.8,56.9-75.1,1.9857
266,35,171206,24144,Ohio,"Cuyahoga County, OH",171206,74.8,56.9-75.1,2.2095
267,35,172101,29274,Ohio,"Cuyahoga County, OH",172101,76.4,75.2-77.5,1.314
268,35,172102,26883,Ohio,"Cuyahoga County, OH",172102,81.8,81.7-97.5,1.7309
269,35,172103,27448,Ohio,"Cuyahoga County, OH",172103,80.2,79.6-81.6,1.4454
270,35,172201,27206,Ohio,"Cuyahoga County, OH",172201,81.0,79.6-81.6,1.5113
271,35,172202,33232,Ohio,"Cuyahoga County, OH",172202,80.3,79.6-81.6,1.4791
272,35,173103,28343,Ohio,"Cuyahoga County, OH",173103,79.8,79.6-81.6,1.5528
273,35,173104,36764,Ohio,"Cuyahoga County, OH",173104,80.0,79.6-81.6,1.7428
274,35,173105,28368,Ohio,"Cuyahoga County, OH",173105,80.4,79.6-81.6,1.2687
275,35,173106,27565,Ohio,"Cuyahoga County, OH",173106,80.5,79.6-81.6,1.3236
276,35,173107,30390,Ohio,"Cuyahoga County, OH",173107,78.4,77.6-79.5,1.5382
277,35,174103,29078,Ohio,"Cuyahoga County, OH",174103,80.0,79.6-81.6,1.4911
278,35,174104,30227,Ohio,"Cuyahoga County, OH",174104,79.1,77.6-79.5,1.4595
279,35,174105,30739,Ohio,"Cuyahoga County, OH",174105,80.7,79.6-81.6,1.2942
280,35,174106,28657,Ohio,"Cuyahoga County, OH",174106,77.4,75.2-77.5,1.1256
281,35,174107,28188,Ohio,"Cuyahoga County, OH",174107,80.8,79.6-81.6,1.5746
282,35,174203,36133,Ohio,"Cuyahoga County, OH",174203,81.8,81.7-97.5,1.5856
283,35,174204,30331,Ohio,"Cuyahoga County, OH",174204,77.8,77.6-79.5,1.2541
284,35,174205,31259,Ohio,"Cuyahoga County, OH",174205,79.0,77.6-79.5,1.7658
285,35,174206,30527,Ohio,"Cuyahoga County, OH",174206,76.0,75.2-77.5,1.9797
286,35,174207,25856,Ohio,"Cuyahoga County, OH",174207,77.2,75.2-77.5,1.268
287,35,175103,30082,Ohio,"Cuyahoga County, OH",175103,79.6,79.6-81.6,1.09
288,35,175104,32178,Ohio,"Cuyahoga County, OH",175104,82.1,81.7-97.5,1.5931
289,35,175105,38444,Ohio,"Cuyahoga County, OH",175105,80.2,79.6-81.6,1.1713
290,35,175106,37624,Ohio,"Cuyahoga County, OH",175106,81.9,81.7-97.5,1.5117
291,35,175201,38885,Ohio,"Cuyahoga County, OH",175201,80.4,79.6-81.6,1.2415
292,35,175202,39729,Ohio,"Cuyahoga County, OH",175202,80.4,79.6-81.6,1.4916
293,35,176100,32266,Ohio,"Cuyahoga County, OH",176100,78.2,77.6-79.5,1.5232
294,35,176200,30355,Ohio,"Cuyahoga County, OH",176200,79.1,77.6-79.5,1.2574
295,35,177101,24410,Ohio,"Cuyahoga County, OH",177101,80.1,79.6-81.6,1.553
296,35,177103,21006,Ohio,"Cuyahoga County, OH",177103,78.1,77.6-79.5,1.5021
297,35,177104,22188,Ohio,"Cuyahoga County, OH",177104,76.2,75.2-77.5,1.4434
298,35,177201,22909,Ohio,"Cuyahoga County, OH",177201,76.7,75.2-77.5,1.2564
299,35,177202,18766,Ohio,"Cuyahoga County, OH",177202,76.1,75.2-77.5,1.3814
300,35,177302,27414,Ohio,"Cuyahoga County, OH",177302,76.0,75.2-77.5,1.2712
301,35,177303,23801,Ohio,"Cuyahoga County, OH",177303,76.9,75.2-77.5,1.2627
302,35,177304,22188,Ohio,"Cuyahoga County, OH",177304,76.6,75.2-77.5,1.8569
303,35,177403,29313,Ohio,"Cuyahoga County, OH",177403,80.5,79.6-81.6,1.7939
304,35,177404,24915,Ohio,"Cuyahoga County, OH",177404,77.9,77.6-79.5,2.1985
305,35,177405,26073,Ohio,"Cuyahoga County, OH",177405,78.4,77.6-79.5,1.2686
306,35,177406,21506,Ohio,"Cuyahoga County, OH",177406,77.1,75.2-77.5,1.1912
307,35,177501,23907,Ohio,"Cuyahoga County, OH",177501,77.6,77.6-79.5,1.1987
308,35,177503,29002,Ohio,"Cuyahoga County, OH",177503,77.7,77.6-79.5,1.1261
309,35,177504,27822,Ohio,"Cuyahoga County, OH",177504,76.9,75.2-77.5,0.94
310,35,177505,27075,Ohio,"Cuyahoga County, OH",177505,79.1,77.6-79.5,1.2013
311,35,177604,22992,Ohio,"Cuyahoga County, OH",177604,76.0,75.2-77.5,0.9899
312,35,177605,31171,Ohio,"Cuyahoga County, OH",177605,77.8,77.6-79.5,1.3395
313,35,177606,26277,Ohio,"Cuyahoga County, OH",177606,78.9,77.6-79.5,1.3534
314,35,177607,27455,Ohio,"Cuyahoga County, OH",177607,84.3,81.7-97.5,1.6999
315,35,177608,23748,Ohio,"Cuyahoga County, OH",177608,78.9,77.6-79.5,1.5676
